Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DRIVERV1.2.PRJPCB|ReportField=ProjectFullPath~G:\GitHUB\TrackedVehicle\PCB\brushless\V1.2\DRIVERV1.2.PRJPCB|ReportField=Title~Bill of Materials For Project [DRIVERV1.2.PRJPCB] (No PCB Document Selected)|ReportField=TotalQuantity~172|ReportField=ReportTime~17:06:45|ReportField=ReportDate~2017-10-25|ReportField=ReportDateTime~2017-10-25 17:06:45|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017-10-25|ReportField=CurrentTime~17:06:42|ReportField=Date~|ReportField=DocumentFullPathAndName~G:\GitHUB\TrackedVehicle\PCB\brushless\V1.2\driverV1.2.SCH|ReportField=DocumentName~driverV1.2.SCH|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017-08-30|ReportField=Organization~|ReportField=ProjectName~DRIVERV1.2.PRJPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~0|ReportField=SheetTotal~0|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~DRIVERV1.2.PRJPCB|ReportField=DataSourceFullPath~G:\GitHUB\TrackedVehicle\PCB\brushless\V1.2\DRIVERV1.2.PRJPCB
1|Cap|C1, C2, C14|3216[1206]|Cap|3|100nF
2|Cap|C3, C4|3216[1206]|Cap|2|2.2UF/100V
3|Cap|C5, C6, C9, C11, C18, C19|R0805|Cap|6|10nF
4|Cap Pol1|C8|C6.3*12|Cap Pol1|1|220uF/10V
5|Cap|C10, C12, C17, C25, C26, C32, C36, C41, C43, C44, C45|0603|Cap|11|104
6|Cap|C13|R0805|Cap|1|100nF
7|Cap|C15|3216[1206]|Cap|1|2.2UF
8|Cap|C16, C42|0603|Cap|2|100pF
9|Cap|C20, C22|0603|Cap|2|22pF
10|Cap Pol3|C23|C8x4|Cap Pol3|1|1000uF
11|Cap|C24, C27|0603|Cap|2|100nF
12|Cap Pol1|C28, C29|C16-7.5|Cap Pol1|2|470uF(100V)
13|Cap|C30|0603|Cap|1|39pF
14|Cap|C31|0603|Cap|1|6800pF
15|Cap|C33, C34, C35|0603|Cap|3|100P
16|Cap|C38|0603|Cap|1|103
17|Cap|C39|0603|Cap|1|1nF
18|Diode|D1, D2, D3, D4, D7, D12|LL34|Diode 1N5408|6|1N4148
19|Zener diode|D5, D6, D8|LL34|D Zener|3|1N4744
20|SMBJ45CA|D9|SMB|Diode 18TQ045|1|SMBJ45CA
21|WORK|D10|0603-LED|LED2|1|
22|FALT|D11, D14|0603-LED|LED2|2|
23|SS54|D13|SMA|Diode BAS16|1|SS54
24|Fuse Thermal|F1|1812|Fuse Thermal|1|
25|Inductor|L1|L-6045|Inductor|1|5.6uH
26|PROG|P1|HDR1X4|Header 4|1|
27|ENC|P2|5557-4-small|Header 4|1|
28|M5|P3, P4, P5, P6, P10|M4|M5|5|
29|HALL|P7|5557-6-small|Header 6|1|
30|S1|P8|HDR1X3|Header 3|1|
31|FAN|P9|PH2.0-2P|Header 2|1|
32|RT|P11|PH2.0-2P|Header 2|1|
